Model,"[Accuracy, Precision, Recall, F-1, ROC_AUC]",Description
KNeighborsClassifier(n_neighbors=8),"[0.717391304347826, 0.5, 0.2692307692307692, 0.35000000000000003, 0.738927738927739]",Model with highest accuracy
KNeighborsClassifier(n_neighbors=8),"[0.717391304347826, 0.5, 0.2692307692307692, 0.35000000000000003, 0.738927738927739]",Model with highest precision
KNeighborsClassifier(),"[0.6521739130434783, 0.39285714285714285, 0.4230769230769231, 0.4074074074074074, 0.6835664335664335]",Model with highest recall
KNeighborsClassifier(),"[0.6521739130434783, 0.39285714285714285, 0.4230769230769231, 0.4074074074074074, 0.6835664335664335]",Model with highest f-1 score
KNeighborsClassifier(n_neighbors=8),"[0.717391304347826, 0.5, 0.2692307692307692, 0.35000000000000003, 0.738927738927739]",Model with highest roc-auc
