Configuration,Accuracy
"[20, 30, 0, 0.5]",0.101
"[20, 30, 0, 0.6]",0.101
"[20, 30, 0, 0.7000000000000001]",0.101
"[20, 30, 0, 0.8]",0.101
"[20, 30, 0, 0.9]",0.101
"[20, 30, 10, 0.1]",0.7282
"[20, 30, 10, 0.2]",0.4645
"[20, 30, 10, 0.30000000000000004]",0.4499
"[20, 30, 10, 0.4]",0.1135
"[20, 30, 10, 0.5]",0.3396
"[20, 30, 10, 0.6]",0.1032
"[20, 30, 10, 0.7000000000000001]",0.2545
"[20, 30, 10, 0.8]",0.1135
"[20, 30, 10, 0.9]",0.3408
"[20, 40, 0, 0.1]",0.1135
"[20, 40, 0, 0.2]",0.1135
"[20, 40, 0, 0.30000000000000004]",0.1135
"[20, 40, 0, 0.4]",0.101
"[20, 40, 0, 0.5]",0.101
"[20, 40, 0, 0.6]",0.101
"[20, 40, 0, 0.7000000000000001]",0.101
"[20, 40, 0, 0.8]",0.101
"[20, 40, 0, 0.9]",0.101
"[20, 40, 10, 0.1]",0.6289
"[20, 40, 10, 0.2]",0.4051
"[20, 40, 10, 0.30000000000000004]",0.4744
"[20, 40, 10, 0.4]",0.3731
"[20, 40, 10, 0.5]",0.2325
"[20, 40, 10, 0.6]",0.2637
"[20, 40, 10, 0.7000000000000001]",0.1447
"[20, 40, 10, 0.8]",0.0958
"[20, 40, 10, 0.9]",0.276
"[40, 0, 0, 0.1]",0.1135
"[40, 0, 0, 0.2]",0.1135
"[40, 0, 0, 0.30000000000000004]",0.1135
"[40, 0, 0, 0.4]",0.101
"[40, 0, 0, 0.5]",0.101
"[40, 0, 0, 0.6]",0.101
"[40, 0, 0, 0.7000000000000001]",0.101
"[40, 0, 0, 0.8]",0.101
"[40, 0, 0, 0.9]",0.101
"[40, 0, 10, 0.1]",0.1135
"[40, 0, 10, 0.2]",0.1135
"[40, 0, 10, 0.30000000000000004]",0.1135
"[40, 0, 10, 0.4]",0.101
"[40, 0, 10, 0.5]",0.101
"[40, 0, 10, 0.6]",0.101
"[40, 0, 10, 0.7000000000000001]",0.101
"[40, 0, 10, 0.8]",0.101
"[40, 0, 10, 0.9]",0.101
"[40, 10, 0, 0.1]",0.1135
"[40, 10, 0, 0.2]",0.1135
"[40, 10, 0, 0.30000000000000004]",0.1135
"[40, 10, 0, 0.4]",0.101
"[40, 10, 0, 0.5]",0.101
"[40, 10, 0, 0.6]",0.101
"[40, 10, 0, 0.7000000000000001]",0.101
"[40, 10, 0, 0.8]",0.101
"[40, 10, 0, 0.9]",0.101
"[40, 10, 10, 0.1]",0.5135
"[40, 10, 10, 0.2]",0.2388
"[40, 10, 10, 0.30000000000000004]",0.2303
"[40, 10, 10, 0.4]",0.1011
"[40, 10, 10, 0.5]",0.1028
"[40, 10, 10, 0.6]",0.1141
"[40, 10, 10, 0.7000000000000001]",0.101
"[40, 10, 10, 0.8]",0.2441
