Configuration,Accuracy,Train Error
"[55, 50, 10, 0.21000000000000002]",0.1919,0.18248
"[55, 50, 10, 0.31000000000000005]",0.174,0.17266
"[55, 50, 10, 0.41000000000000003]",0.2074,0.21202
"[55, 50, 10, 0.51]",0.2091,0.21192
"[55, 50, 10, 0.6100000000000001]",0.1719,0.17506
"[55, 50, 10, 0.7100000000000001]",0.098,0.09864
"[55, 50, 10, 0.81]",0.1665,0.16422
"[55, 50, 10, 0.91]",0.101,0.10202
"[70, 10, 10, 0.01]",0.6734,0.67646
"[70, 10, 10, 0.11]",0.4528,0.45808
"[70, 10, 10, 0.21000000000000002]",0.3442,0.34276
"[70, 10, 10, 0.31000000000000005]",0.1717,0.1709
"[70, 10, 10, 0.41000000000000003]",0.2652,0.2655
"[70, 10, 10, 0.51]",0.2723,0.26844
"[70, 10, 10, 0.6100000000000001]",0.1206,0.12574
"[70, 10, 10, 0.7100000000000001]",0.098,0.0987
"[70, 10, 10, 0.81]",0.101,0.10202
"[70, 10, 10, 0.91]",0.1193,0.11742
"[70, 30, 10, 0.01]",0.8519,0.85046
"[70, 30, 10, 0.11]",0.5048,0.51504
"[70, 30, 10, 0.21000000000000002]",0.3477,0.34064
"[70, 30, 10, 0.31000000000000005]",0.2778,0.27786
"[70, 30, 10, 0.41000000000000003]",0.2905,0.2861
"[70, 30, 10, 0.51]",0.1882,0.18968
"[70, 30, 10, 0.6100000000000001]",0.2016,0.19908
"[70, 30, 10, 0.7100000000000001]",0.1135,0.11356
"[70, 30, 10, 0.81]",0.1727,0.16974
"[70, 30, 10, 0.91]",0.1135,0.11356
"[70, 50, 10, 0.01]",0.8573,0.85866
"[70, 50, 10, 0.11]",0.7061,0.69422
"[70, 50, 10, 0.21000000000000002]",0.3649,0.36664
"[70, 50, 10, 0.31000000000000005]",0.287,0.28564
"[70, 50, 10, 0.41000000000000003]",0.3202,0.31986
"[70, 50, 10, 0.51]",0.2751,0.27266
"[70, 50, 10, 0.6100000000000001]",0.101,0.10202
"[70, 50, 10, 0.7100000000000001]",0.2445,0.23608
"[70, 50, 10, 0.81]",0.098,0.09864
"[70, 50, 10, 0.91]",0.1892,0.1871
"[85, 10, 10, 0.01]",0.7538,0.75998
"[85, 10, 10, 0.11]",0.4926,0.49266
"[85, 10, 10, 0.21000000000000002]",0.2522,0.24924
"[85, 10, 10, 0.31000000000000005]",0.1136,0.1139
"[85, 10, 10, 0.41000000000000003]",0.3338,0.32412
"[85, 10, 10, 0.51]",0.101,0.10202
"[85, 10, 10, 0.6100000000000001]",0.2858,0.28288
"[85, 10, 10, 0.7100000000000001]",0.1013,0.10208
"[85, 10, 10, 0.81]",0.1822,0.18294
"[85, 10, 10, 0.91]",0.2985,0.29568
"[85, 30, 10, 0.01]",0.7632,0.76892
"[85, 30, 10, 0.11]",0.5252,0.51924
"[85, 30, 10, 0.21000000000000002]",0.3809,0.38316
"[85, 30, 10, 0.31000000000000005]",0.2442,0.23478
