Number of epochs,First Unit,Second Unit,Third Unit,Learning Rate,Accuracy
10,0,0,0,0.1,0.1135
10,0,0,0,0.2,0.1135
10,0,0,0,0.30000000000000004,0.1135
10,0,0,0,0.4,0.101
10,0,0,0,0.5,0.101
10,0,0,0,0.6,0.101
10,0,0,0,0.7000000000000001,0.101
10,0,0,0,0.8,0.101
10,0,0,0,0.9,0.101
10,0,0,10,0.1,0.1135
10,0,0,10,0.2,0.1135
10,0,0,10,0.30000000000000004,0.1135
10,0,0,10,0.4,0.101
10,0,0,10,0.5,0.101
10,0,0,10,0.6,0.101
10,0,0,10,0.7000000000000001,0.101
10,0,0,10,0.8,0.101
10,0,0,10,0.9,0.101
10,0,10,0,0.1,0.1135
10,0,10,0,0.2,0.1135
10,0,10,0,0.30000000000000004,0.1135
10,0,10,0,0.4,0.101
10,0,10,0,0.5,0.101
10,0,10,0,0.6,0.101
10,0,10,0,0.7000000000000001,0.101
10,0,10,0,0.8,0.101
10,0,10,0,0.9,0.101
10,0,10,10,0.1,0.1135
10,0,10,10,0.2,0.1135
10,0,10,10,0.30000000000000004,0.1135
10,0,10,10,0.4,0.101
10,0,10,10,0.5,0.101
10,0,10,10,0.6,0.101
10,0,10,10,0.7000000000000001,0.101
10,0,10,10,0.8,0.101
10,0,10,10,0.9,0.101
10,0,20,0,0.1,0.1135
10,0,20,0,0.2,0.1135
10,0,20,0,0.30000000000000004,0.1135
10,0,20,0,0.4,0.101
10,0,20,0,0.5,0.101
10,0,20,0,0.6,0.101
10,0,20,0,0.7000000000000001,0.101
10,0,20,0,0.8,0.101
10,0,20,0,0.9,0.101
10,0,20,10,0.1,0.1135
10,0,20,10,0.2,0.1135
10,0,20,10,0.30000000000000004,0.1135
10,0,20,10,0.4,0.101
10,0,20,10,0.5,0.101
10,0,20,10,0.6,0.101
10,0,20,10,0.7000000000000001,0.101
10,0,20,10,0.8,0.101
10,0,20,10,0.9,0.101
10,0,30,0,0.1,0.1135
10,0,30,0,0.2,0.1135
10,0,30,0,0.30000000000000004,0.1135
10,0,30,0,0.4,0.101
10,0,30,0,0.5,0.101
10,0,30,0,0.6,0.101
10,0,30,0,0.7000000000000001,0.101
10,0,30,0,0.8,0.101
10,0,30,0,0.9,0.101
10,0,30,10,0.1,0.1135
10,0,30,10,0.2,0.1135
10,0,30,10,0.30000000000000004,0.1135
10,0,30,10,0.4,0.101
10,0,30,10,0.5,0.101
10,0,30,10,0.6,0.101
10,0,30,10,0.7000000000000001,0.101
10,0,30,10,0.8,0.101
10,0,30,10,0.9,0.101
10,0,40,0,0.1,0.1135
10,0,40,0,0.2,0.1135
10,0,40,0,0.30000000000000004,0.1135
10,0,40,0,0.4,0.101
10,0,40,0,0.5,0.101
10,0,40,0,0.6,0.101
10,0,40,0,0.7000000000000001,0.101
10,0,40,0,0.8,0.101
10,0,40,0,0.9,0.101
10,0,40,10,0.1,0.1135
10,0,40,10,0.2,0.1135
10,0,40,10,0.30000000000000004,0.1135
10,0,40,10,0.4,0.101
10,0,40,10,0.5,0.101
10,0,40,10,0.6,0.101
10,0,40,10,0.7000000000000001,0.101
10,0,40,10,0.8,0.101
10,0,40,10,0.9,0.101
10,20,0,0,0.1,0.1135
10,20,0,0,0.2,0.1135
10,20,0,0,0.30000000000000004,0.1135
10,20,0,0,0.4,0.101
10,20,0,0,0.5,0.101
10,20,0,0,0.6,0.101
10,20,0,0,0.7000000000000001,0.101
10,20,0,0,0.8,0.101
10,20,0,0,0.9,0.101
10,20,0,10,0.1,0.1135
10,20,0,10,0.2,0.1135
10,20,0,10,0.30000000000000004,0.1135
10,20,0,10,0.4,0.101
10,20,0,10,0.5,0.101
10,20,0,10,0.6,0.101
10,20,0,10,0.7000000000000001,0.101
10,20,0,10,0.8,0.101
10,20,0,10,0.9,0.101
10,20,10,0,0.1,0.1135
10,20,10,0,0.2,0.1135
10,20,10,0,0.30000000000000004,0.1135
10,20,10,0,0.4,0.101
10,20,10,0,0.5,0.101
10,20,10,0,0.6,0.101
10,20,10,0,0.7000000000000001,0.101
10,20,10,0,0.8,0.101
10,20,10,0,0.9,0.101
10,20,10,10,0.1,0.3881
10,20,10,10,0.2,0.2909
10,20,10,10,0.30000000000000004,0.3291
10,20,10,10,0.4,0.1047
10,20,10,10,0.5,0.1268
10,20,10,10,0.6,0.101
10,20,10,10,0.7000000000000001,0.101
10,20,10,10,0.8,0.1159
10,20,10,10,0.9,0.101
10,20,20,0,0.1,0.1135
10,20,20,0,0.2,0.1135
10,20,20,0,0.30000000000000004,0.1135
10,20,20,0,0.4,0.101
10,20,20,0,0.5,0.101
10,20,20,0,0.6,0.101
10,20,20,0,0.7000000000000001,0.101
