Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,n_estimators,max_depth
"RandomForestClassifier(max_depth=9, n_estimators=4)",0.6373626373626373,0.46153846153846156,0.3870967741935484,0.42105263157894735,0.6349462365591397,Train error: 0.07046070460704612,Test error: 0.3626373626373627,4,9
"RandomForestClassifier(max_depth=1, n_estimators=5)",0.6703296703296703,0.6666666666666666,0.06451612903225806,0.1176470588235294,0.7169354838709677,Train error: 0.3062330623306233,Test error: 0.3296703296703297,5,1
"RandomForestClassifier(max_depth=2, n_estimators=5)",0.6373626373626373,0.4444444444444444,0.25806451612903225,0.32653061224489793,0.6674731182795699,Train error: 0.24119241192411922,Test error: 0.3626373626373627,5,2
"RandomForestClassifier(max_depth=3, n_estimators=5)",0.6483516483516484,0.4782608695652174,0.3548387096774194,0.40740740740740744,0.6771505376344087,Train error: 0.19512195121951215,Test error: 0.3516483516483516,5,3
"RandomForestClassifier(max_depth=4, n_estimators=5)",0.6483516483516484,0.47368421052631576,0.2903225806451613,0.36,0.6674731182795699,Train error: 0.17615176151761514,Test error: 0.3516483516483516,5,4
"RandomForestClassifier(max_depth=5, n_estimators=5)",0.6703296703296703,0.5172413793103449,0.4838709677419355,0.5000000000000001,0.6650537634408602,Train error: 0.14905149051490518,Test error: 0.3296703296703297,5,5
"RandomForestClassifier(max_depth=6, n_estimators=5)",0.6703296703296703,0.5217391304347826,0.3870967741935484,0.4444444444444444,0.6946236559139785,Train error: 0.11111111111111116,Test error: 0.3296703296703297,5,6
"RandomForestClassifier(max_depth=7, n_estimators=5)",0.6813186813186813,0.53125,0.5483870967741935,0.5396825396825397,0.6706989247311829,Train error: 0.07588075880758804,Test error: 0.31868131868131866,5,7
"RandomForestClassifier(max_depth=8, n_estimators=5)",0.6373626373626373,0.46153846153846156,0.3870967741935484,0.42105263157894735,0.6577956989247311,Train error: 0.07046070460704612,Test error: 0.3626373626373627,5,8
"RandomForestClassifier(max_depth=9, n_estimators=5)",0.6923076923076923,0.5483870967741935,0.5483870967741935,0.5483870967741935,0.7247311827956989,Train error: 0.0677506775067751,Test error: 0.3076923076923077,5,9
"RandomForestClassifier(max_depth=1, n_estimators=6)",0.6483516483516484,0.0,0.0,0.0,0.6102150537634409,Train error: 0.31436314363143636,Test error: 0.3516483516483516,6,1
"RandomForestClassifier(max_depth=2, n_estimators=6)",0.6813186813186813,0.5357142857142857,0.4838709677419355,0.5084745762711865,0.710215053763441,Train error: 0.2357723577235772,Test error: 0.31868131868131866,6,2
"RandomForestClassifier(max_depth=3, n_estimators=6)",0.6483516483516484,0.48,0.3870967741935484,0.42857142857142855,0.6508064516129033,Train error: 0.20867208672086723,Test error: 0.3516483516483516,6,3
"RandomForestClassifier(max_depth=4, n_estimators=6)",0.6483516483516484,0.48,0.3870967741935484,0.42857142857142855,0.654032258064516,Train error: 0.19783197831978316,Test error: 0.3516483516483516,6,4
"RandomForestClassifier(max_depth=5, n_estimators=6)",0.6263736263736264,0.43478260869565216,0.3225806451612903,0.37037037037037035,0.6983870967741935,Train error: 0.14092140921409213,Test error: 0.37362637362637363,6,5
"RandomForestClassifier(max_depth=6, n_estimators=6)",0.6813186813186813,0.5333333333333333,0.5161290322580645,0.5245901639344263,0.6787634408602151,Train error: 0.10840108401084014,Test error: 0.31868131868131866,6,6
"RandomForestClassifier(max_depth=7, n_estimators=6)",0.6703296703296703,0.52,0.41935483870967744,0.46428571428571425,0.6983870967741935,Train error: 0.09214092140921404,Test error: 0.3296703296703297,6,7
