Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,n_estimators,max_depth
"RandomForestClassifier(max_depth=7, n_estimators=4)",0.9734513274336283,1.0,0.9285714285714286,0.962962962962963,0.9966465459423206,0.008810572687224627,0.026548672566371723,4,7
"RandomForestClassifier(max_depth=8, n_estimators=4)",0.9734513274336283,1.0,0.9285714285714286,0.962962962962963,0.9924547283702214,0.011013215859030812,0.026548672566371723,4,8
"RandomForestClassifier(max_depth=9, n_estimators=4)",0.9557522123893806,0.9512195121951219,0.9285714285714286,0.9397590361445782,0.9936284372904091,0.011013215859030812,0.04424778761061943,4,9
"RandomForestClassifier(max_depth=1, n_estimators=5)",0.9380530973451328,1.0,0.8333333333333334,0.9090909090909091,0.9537223340040242,0.08810572687224671,0.06194690265486724,5,1
"RandomForestClassifier(max_depth=2, n_estimators=5)",0.9380530973451328,0.9069767441860465,0.9285714285714286,0.9176470588235294,0.9932930918846411,0.07488986784140972,0.06194690265486724,5,2
"RandomForestClassifier(max_depth=3, n_estimators=5)",0.9734513274336283,1.0,0.9285714285714286,0.962962962962963,0.9978202548625085,0.05726872246696035,0.026548672566371723,5,3
"RandomForestClassifier(max_depth=4, n_estimators=5)",0.9646017699115044,1.0,0.9047619047619048,0.9500000000000001,0.9979879275653923,0.01982378854625555,0.03539823008849563,5,4
"RandomForestClassifier(max_depth=5, n_estimators=5)",0.9380530973451328,0.9487179487179487,0.8809523809523809,0.9135802469135802,0.9904426559356138,0.011013215859030812,0.06194690265486724,5,5
"RandomForestClassifier(max_depth=6, n_estimators=5)",0.9646017699115044,1.0,0.9047619047619048,0.9500000000000001,0.9919517102615695,0.011013215859030812,0.03539823008849563,5,6
"RandomForestClassifier(max_depth=7, n_estimators=5)",0.9734513274336283,1.0,0.9285714285714286,0.962962962962963,0.9973172367538565,0.004405286343612369,0.026548672566371723,5,7
"RandomForestClassifier(max_depth=8, n_estimators=5)",0.9380530973451328,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9899396378269618,0.0066079295154185536,0.06194690265486724,5,8
"RandomForestClassifier(max_depth=9, n_estimators=5)",0.9380530973451328,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9906103286384976,0.008810572687224627,0.06194690265486724,5,9
"RandomForestClassifier(max_depth=1, n_estimators=6)",0.9292035398230089,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9802146210596915,0.11233480176211452,0.07079646017699115,6,1
"RandomForestClassifier(max_depth=2, n_estimators=6)",0.9469026548672567,0.95,0.9047619047619048,0.9268292682926829,0.9862508383635143,0.0506607929515418,0.053097345132743334,6,2
"RandomForestClassifier(max_depth=3, n_estimators=6)",0.9557522123893806,1.0,0.8809523809523809,0.9367088607594937,0.9879275653923543,0.04185022026431717,0.04424778761061943,6,3
"RandomForestClassifier(max_depth=4, n_estimators=6)",0.9557522123893806,0.9512195121951219,0.9285714285714286,0.9397590361445782,0.9929577464788732,0.01982378854625555,0.04424778761061943,6,4
"RandomForestClassifier(max_depth=5, n_estimators=6)",0.9469026548672567,0.95,0.9047619047619048,0.9268292682926829,0.9953051643192488,0.008810572687224627,0.053097345132743334,6,5
"RandomForestClassifier(max_depth=6, n_estimators=6)",0.9469026548672567,0.9736842105263158,0.8809523809523809,0.925,0.9776995305164319,0.0066079295154185536,0.053097345132743334,6,6
"RandomForestClassifier(max_depth=7, n_estimators=6)",0.9557522123893806,0.9512195121951219,0.9285714285714286,0.9397590361445782,0.9941314553990611,0.011013215859030812,0.04424778761061943,6,7
"RandomForestClassifier(max_depth=8, n_estimators=6)",0.9557522123893806,1.0,0.8809523809523809,0.9367088607594937,0.9968142186452046,0.004405286343612369,0.04424778761061943,6,8
"RandomForestClassifier(max_depth=9, n_estimators=6)",0.9292035398230089,0.9722222222222222,0.8333333333333334,0.8974358974358975,0.9892689470154258,0.008810572687224627,0.07079646017699115,6,9
"RandomForestClassifier(max_depth=1, n_estimators=7)",0.9469026548672567,0.95,0.9047619047619048,0.9268292682926829,0.9884305835010061,0.09691629955947134,0.053097345132743334,7,1
"RandomForestClassifier(max_depth=2, n_estimators=7)",0.9380530973451328,0.972972972972973,0.8571428571428571,0.9113924050632912,0.9896042924211937,0.06167400881057272,0.06194690265486724,7,2
"RandomForestClassifier(max_depth=3, n_estimators=7)",0.9469026548672567,0.9736842105263158,0.8809523809523809,0.925,0.9835680751173709,0.04185022026431717,0.053097345132743334,7,3
"RandomForestClassifier(max_depth=4, n_estimators=7)",0.9646017699115044,0.975,0.9285714285714286,0.951219512195122,0.9966465459423206,0.024229074889867808,0.03539823008849563,7,4
"RandomForestClassifier(max_depth=5, n_estimators=7)",0.9557522123893806,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.994131455399061,0.017621145374449365,0.04424778761061943,7,5
"RandomForestClassifier(max_depth=6, n_estimators=7)",0.9557522123893806,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9961435278336688,0.013215859030836996,0.04424778761061943,7,6
"RandomForestClassifier(max_depth=7, n_estimators=7)",0.9469026548672567,0.95,0.9047619047619048,0.9268292682926829,0.9948021462105969,0.004405286343612369,0.053097345132743334,7,7
"RandomForestClassifier(max_depth=8, n_estimators=7)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9968142186452045,0.008810572687224627,0.03539823008849563,7,8
"RandomForestClassifier(max_depth=9, n_estimators=7)",0.9557522123893806,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9956405097250167,0.0022026431718061845,0.04424778761061943,7,9
"RandomForestClassifier(max_depth=1, n_estimators=8)",0.9292035398230089,0.925,0.8809523809523809,0.9024390243902439,0.9622736418511066,0.1035242290748899,0.07079646017699115,8,1
"RandomForestClassifier(max_depth=2, n_estimators=8)",0.9469026548672567,0.9736842105263158,0.8809523809523809,0.925,0.9912810194500336,0.048458149779735726,0.053097345132743334,8,2
"RandomForestClassifier(max_depth=3, n_estimators=8)",0.9557522123893806,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9661301140174379,0.03083700440528636,0.04424778761061943,8,3
"RandomForestClassifier(max_depth=4, n_estimators=8)",0.9734513274336283,1.0,0.9285714285714286,0.962962962962963,0.9993293091884641,0.033039647577092546,0.026548672566371723,8,4
"RandomForestClassifier(max_depth=5, n_estimators=8)",0.9557522123893806,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.9926224010731053,0.01982378854625555,0.04424778761061943,8,5
"RandomForestClassifier(max_depth=6, n_estimators=8)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9963112005365526,0.004405286343612369,0.03539823008849563,8,6
"RandomForestClassifier(max_depth=7, n_estimators=8)",0.9557522123893806,0.9512195121951219,0.9285714285714286,0.9397590361445782,0.9961435278336688,0.0022026431718061845,0.04424778761061943,8,7
"RandomForestClassifier(max_depth=8, n_estimators=8)",0.9646017699115044,0.975,0.9285714285714286,0.951219512195122,0.9969818913480885,0.004405286343612369,0.03539823008849563,8,8
"RandomForestClassifier(max_depth=9, n_estimators=8)",0.9557522123893806,1.0,0.8809523809523809,0.9367088607594937,0.9926224010731053,0.0066079295154185536,0.04424778761061943,8,9
"RandomForestClassifier(max_depth=1, n_estimators=9)",0.9380530973451328,0.972972972972973,0.8571428571428571,0.9113924050632912,0.9932930918846411,0.08810572687224671,0.06194690265486724,9,1
"RandomForestClassifier(max_depth=2, n_estimators=9)",0.9557522123893806,0.9302325581395349,0.9523809523809523,0.9411764705882352,0.9936284372904091,0.05947136563876654,0.04424778761061943,9,2
"RandomForestClassifier(max_depth=3, n_estimators=9)",0.9469026548672567,1.0,0.8571428571428571,0.923076923076923,0.9909456740442656,0.037444933920704804,0.053097345132743334,9,3
"RandomForestClassifier(max_depth=4, n_estimators=9)",0.9469026548672567,0.95,0.9047619047619048,0.9268292682926829,0.9926224010731053,0.028634361233480177,0.053097345132743334,9,4
"RandomForestClassifier(max_depth=5, n_estimators=9)",0.9557522123893806,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.993963782696177,0.01541850220264318,0.04424778761061943,9,5
"RandomForestClassifier(max_depth=6, n_estimators=9)",0.9646017699115044,0.975,0.9285714285714286,0.951219512195122,0.9979879275653923,0.01541850220264318,0.03539823008849563,9,6
"RandomForestClassifier(max_depth=7, n_estimators=9)",0.9646017699115044,1.0,0.9047619047619048,0.9500000000000001,0.9959758551307847,0.004405286343612369,0.03539823008849563,9,7
"RandomForestClassifier(max_depth=8, n_estimators=9)",0.9469026548672567,0.9736842105263158,0.8809523809523809,0.925,0.9936284372904091,0.011013215859030812,0.053097345132743334,9,8
"RandomForestClassifier(max_depth=9, n_estimators=9)",0.9557522123893806,1.0,0.8809523809523809,0.9367088607594937,0.9984909456740442,0.0022026431718061845,0.04424778761061943,9,9
