Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,n_estimators,max_samples
"BaggingClassifier(max_samples=0.6, n_estimators=600, n_jobs=-1)",0.6703296703296703,0.5185185185185185,0.45161290322580644,0.48275862068965514,0.681989247311828,0.013550135501354976,0.3296703296703297,600,0.6
"BaggingClassifier(max_samples=0.7, n_estimators=600, n_jobs=-1)",0.6593406593406593,0.5,0.41935483870967744,0.45614035087719296,0.6830645161290323,0.0,0.34065934065934067,600,0.7
"BaggingClassifier(max_samples=0.8, n_estimators=600, n_jobs=-1)",0.6483516483516484,0.48148148148148145,0.41935483870967744,0.4482758620689655,0.6717741935483871,0.0,0.3516483516483516,600,0.8
"BaggingClassifier(max_samples=0.9, n_estimators=600, n_jobs=-1)",0.6483516483516484,0.48148148148148145,0.41935483870967744,0.4482758620689655,0.671505376344086,0.0,0.3516483516483516,600,0.9
"BaggingClassifier(n_estimators=600, n_jobs=-1)",0.6483516483516484,0.48148148148148145,0.41935483870967744,0.4482758620689655,0.6663978494623656,0.0,0.3516483516483516,600,1.0
"BaggingClassifier(max_samples=0.5, n_estimators=700, n_jobs=-1)",0.6593406593406593,0.5,0.41935483870967744,0.45614035087719296,0.6900537634408601,0.03252032520325199,0.34065934065934067,700,0.5
"BaggingClassifier(max_samples=0.6, n_estimators=700, n_jobs=-1)",0.6593406593406593,0.5,0.41935483870967744,0.45614035087719296,0.6852150537634408,0.008130081300813052,0.34065934065934067,700,0.6
"BaggingClassifier(max_samples=0.7, n_estimators=700, n_jobs=-1)",0.6703296703296703,0.5185185185185185,0.45161290322580644,0.48275862068965514,0.6811827956989247,0.0027100271002710175,0.3296703296703297,700,0.7
"BaggingClassifier(max_samples=0.8, n_estimators=700, n_jobs=-1)",0.6483516483516484,0.48148148148148145,0.41935483870967744,0.4482758620689655,0.6647849462365591,0.0,0.3516483516483516,700,0.8
"BaggingClassifier(max_samples=0.9, n_estimators=700, n_jobs=-1)",0.6593406593406593,0.5,0.41935483870967744,0.45614035087719296,0.6669354838709678,0.0,0.34065934065934067,700,0.9
"BaggingClassifier(n_estimators=700, n_jobs=-1)",0.6483516483516484,0.48148148148148145,0.41935483870967744,0.4482758620689655,0.6623655913978495,0.0,0.3516483516483516,700,1.0
