Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,C,kernel,degree,gamma
"SVC(C=0.001, degree=1, gamma=0.01, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,1,0.01
"SVC(C=0.001, degree=1, gamma=0.1, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,1,0.1
"SVC(C=0.001, degree=1, gamma=1.0, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,1,1.0
"SVC(C=0.001, degree=1, gamma=10.0, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,1,10.0
"SVC(C=0.001, degree=1, gamma=100.0, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,1,100.0
"SVC(C=0.001, degree=2, gamma=0.001, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,2,0.001
"SVC(C=0.001, degree=2, gamma=0.01, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,2,0.01
"SVC(C=0.001, degree=2, gamma=0.1, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,2,0.1
"SVC(C=0.001, degree=2, gamma=1.0, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,2,1.0
"SVC(C=0.001, degree=2, gamma=10.0, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,2,10.0
"SVC(C=0.001, degree=2, gamma=100.0, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,2,100.0
"SVC(C=0.001, gamma=0.001, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,3,0.001
"SVC(C=0.001, gamma=0.01, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,3,0.01
"SVC(C=0.001, gamma=0.1, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,3,0.1
"SVC(C=0.001, gamma=1.0, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,3,1.0
"SVC(C=0.001, gamma=10.0, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,3,10.0
"SVC(C=0.001, gamma=100.0, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,3,100.0
"SVC(C=0.001, degree=4, gamma=0.001, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,4,0.001
"SVC(C=0.001, degree=4, gamma=0.01, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,4,0.01
"SVC(C=0.001, degree=4, gamma=0.1, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,4,0.1
"SVC(C=0.001, degree=4, gamma=1.0, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,4,1.0
"SVC(C=0.001, degree=4, gamma=10.0, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,4,10.0
"SVC(C=0.001, degree=4, gamma=100.0, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,4,100.0
"SVC(C=0.001, degree=5, gamma=0.001, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,5,0.001
"SVC(C=0.001, degree=5, gamma=0.01, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,5,0.01
"SVC(C=0.001, degree=5, gamma=0.1, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,5,0.1
"SVC(C=0.001, degree=5, gamma=1.0, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,5,1.0
"SVC(C=0.001, degree=5, gamma=10.0, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,5,10.0
"SVC(C=0.001, degree=5, gamma=100.0, kernel='linear', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,linear,5,100.0
"SVC(C=0.001, degree=1, gamma=0.001, kernel='poly', probability=True)",0.6460176991150443,1.0,0.047619047619047616,0.0909090909090909,0.9668008048289738,Train error: 0.3590308370044053,Test error: 0.35398230088495575,0.001,poly,1,0.001
"SVC(C=0.001, degree=1, gamma=0.01, kernel='poly', probability=True)",0.8672566371681416,1.0,0.6428571428571429,0.782608695652174,0.9694835680751173,Train error: 0.19383259911894268,Test error: 0.1327433628318584,0.001,poly,1,0.01
"SVC(C=0.001, degree=1, gamma=0.1, kernel='poly', probability=True)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.976861167002012,Train error: 0.14537444933920707,Test error: 0.07079646017699115,0.001,poly,1,0.1
"SVC(C=0.001, degree=1, gamma=1.0, kernel='poly', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.001,poly,1,1.0
