Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,C,kernel,degree,gamma
"SVC(C=0.01, degree=1, gamma=1.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9074446680080483,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,1,1.0
"SVC(C=0.01, degree=1, gamma=10.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.26425217974513754,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,1,10.0
"SVC(C=0.01, degree=1, gamma=100.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,1,100.0
"SVC(C=0.01, degree=2, gamma=0.001, probability=True)",0.8230088495575221,1.0,0.5238095238095238,0.6875000000000001,0.9735077129443327,Train error: 0.22246696035242286,Test error: 0.17699115044247793,0.01,rbf,2,0.001
"SVC(C=0.01, degree=2, gamma=0.01, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9731723675385647,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,2,0.01
"SVC(C=0.01, degree=2, gamma=0.1, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9735077129443326,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,2,0.1
"SVC(C=0.01, degree=2, gamma=1.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9071093226022804,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,2,1.0
"SVC(C=0.01, degree=2, gamma=10.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.26425217974513754,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,2,10.0
"SVC(C=0.01, degree=2, gamma=100.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,2,100.0
"SVC(C=0.01, gamma=0.001, probability=True)",0.8230088495575221,1.0,0.5238095238095238,0.6875000000000001,0.9735077129443327,Train error: 0.22246696035242286,Test error: 0.17699115044247793,0.01,rbf,3,0.001
"SVC(C=0.01, gamma=0.01, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9741784037558685,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,3,0.01
"SVC(C=0.01, gamma=0.1, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9735077129443326,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,3,0.1
"SVC(C=0.01, gamma=1.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9071093226022804,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,3,1.0
"SVC(C=0.01, gamma=10.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.26425217974513754,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,3,10.0
"SVC(C=0.01, gamma=100.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,3,100.0
"SVC(C=0.01, degree=4, gamma=0.001, probability=True)",0.8230088495575221,1.0,0.5238095238095238,0.6875000000000001,0.9735077129443327,Train error: 0.22246696035242286,Test error: 0.17699115044247793,0.01,rbf,4,0.001
"SVC(C=0.01, degree=4, gamma=0.01, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9741784037558685,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,4,0.01
"SVC(C=0.01, degree=4, gamma=0.1, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9735077129443326,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,4,0.1
"SVC(C=0.01, degree=4, gamma=1.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9071093226022804,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,4,1.0
"SVC(C=0.01, degree=4, gamma=10.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.26425217974513754,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,4,10.0
"SVC(C=0.01, degree=4, gamma=100.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,4,100.0
"SVC(C=0.01, degree=5, gamma=0.001, probability=True)",0.8230088495575221,1.0,0.5238095238095238,0.6875000000000001,0.9735077129443327,Train error: 0.22246696035242286,Test error: 0.17699115044247793,0.01,rbf,5,0.001
"SVC(C=0.01, degree=5, gamma=0.01, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9731723675385647,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,5,0.01
"SVC(C=0.01, degree=5, gamma=0.1, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9735077129443326,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,5,0.1
"SVC(C=0.01, degree=5, gamma=1.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9071093226022804,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,5,1.0
"SVC(C=0.01, degree=5, gamma=10.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.26425217974513754,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,5,10.0
"SVC(C=0.01, degree=5, gamma=100.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,5,100.0
"SVC(C=0.01, degree=1, gamma=0.001, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,1,0.001
"SVC(C=0.01, degree=1, gamma=0.01, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,1,0.01
"SVC(C=0.01, degree=1, gamma=0.1, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,1,0.1
"SVC(C=0.01, degree=1, gamma=1.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,1,1.0
"SVC(C=0.01, degree=1, gamma=10.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,1,10.0
"SVC(C=0.01, degree=1, gamma=100.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,1,100.0
"SVC(C=0.01, degree=2, gamma=0.001, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,2,0.001
"SVC(C=0.01, degree=2, gamma=0.01, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,2,0.01
"SVC(C=0.01, degree=2, gamma=0.1, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,2,0.1
"SVC(C=0.01, degree=2, gamma=1.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,2,1.0
"SVC(C=0.01, degree=2, gamma=10.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,2,10.0
"SVC(C=0.01, degree=2, gamma=100.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,2,100.0
"SVC(C=0.01, gamma=0.001, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,3,0.001
"SVC(C=0.01, gamma=0.01, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,3,0.01
"SVC(C=0.01, gamma=0.1, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,3,0.1
"SVC(C=0.01, gamma=1.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,3,1.0
"SVC(C=0.01, gamma=10.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,3,10.0
"SVC(C=0.01, gamma=100.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,3,100.0
"SVC(C=0.01, degree=4, gamma=0.001, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,4,0.001
"SVC(C=0.01, degree=4, gamma=0.01, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,4,0.01
"SVC(C=0.01, degree=4, gamma=0.1, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,4,0.1
"SVC(C=0.01, degree=4, gamma=1.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,4,1.0
"SVC(C=0.01, degree=4, gamma=10.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,4,10.0
"SVC(C=0.01, degree=4, gamma=100.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,4,100.0
"SVC(C=0.01, degree=5, gamma=0.001, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,5,0.001
"SVC(C=0.01, degree=5, gamma=0.01, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,5,0.01
"SVC(C=0.01, degree=5, gamma=0.1, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,5,0.1
"SVC(C=0.01, degree=5, gamma=1.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,5,1.0
"SVC(C=0.01, degree=5, gamma=10.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,5,10.0
"SVC(C=0.01, degree=5, gamma=100.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,linear,5,100.0
"SVC(C=0.01, degree=1, gamma=0.001, kernel='poly', probability=True)",0.8672566371681416,1.0,0.6428571428571429,0.782608695652174,0.9694835680751173,Train error: 0.19383259911894268,Test error: 0.1327433628318584,0.01,poly,1,0.001
"SVC(C=0.01, degree=1, gamma=0.01, kernel='poly', probability=True)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.976861167002012,Train error: 0.14537444933920707,Test error: 0.07079646017699115,0.01,poly,1,0.01
"SVC(C=0.01, degree=1, gamma=0.1, kernel='poly', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.01,poly,1,0.1
"SVC(C=0.01, degree=1, gamma=1.0, kernel='poly', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.01,poly,1,1.0
"SVC(C=0.01, degree=1, gamma=10.0, kernel='poly', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.01,poly,1,10.0
"SVC(C=0.01, degree=1, gamma=100.0, kernel='poly', probability=True)",0.9734513274336283,1.0,0.9285714285714286,0.962962962962963,0.9973172367538565,Train error: 0.037444933920704804,Test error: 0.026548672566371723,0.01,poly,1,100.0
"SVC(C=0.01, degree=2, gamma=0.001, kernel='poly', probability=True)",0.9292035398230089,0.9722222222222222,0.8333333333333334,0.8974358974358975,0.9782025486250838,Train error: 0.14537444933920707,Test error: 0.07079646017699115,0.01,poly,2,0.001
"SVC(C=0.01, degree=2, gamma=0.01, kernel='poly', probability=True)",0.9734513274336283,1.0,0.9285714285714286,0.962962962962963,0.9674714956405097,Train error: 0.0903083700440529,Test error: 0.026548672566371723,0.01,poly,2,0.01
"SVC(C=0.01, degree=2, gamma=0.1, kernel='poly', probability=True)",0.9646017699115044,1.0,0.9047619047619048,0.9500000000000001,0.9936284372904091,Train error: 0.033039647577092546,Test error: 0.03539823008849563,0.01,poly,2,0.1
"SVC(C=0.01, degree=2, gamma=1.0, kernel='poly', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9761904761904762,Train error: 0.01982378854625555,Test error: 0.017699115044247815,0.01,poly,2,1.0
"SVC(C=0.01, degree=2, gamma=10.0, kernel='poly', probability=True)",0.9911504424778761,0.9767441860465116,1.0,0.988235294117647,0.999664654594232,Train error: 0.004405286343612369,Test error: 0.008849557522123908,0.01,poly,2,10.0
"SVC(C=0.01, degree=2, gamma=100.0, kernel='poly', probability=True)",0.9734513274336283,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9755197853789404,Train error: 0.0,Test error: 0.026548672566371723,0.01,poly,2,100.0
"SVC(C=0.01, gamma=0.001, kernel='poly', probability=True)",0.9469026548672567,0.95,0.9047619047619048,0.9268292682926829,0.9828973843058351,Train error: 0.1277533039647577,Test error: 0.053097345132743334,0.01,poly,3,0.001
"SVC(C=0.01, gamma=0.01, kernel='poly', probability=True)",0.9646017699115044,1.0,0.9047619047619048,0.9500000000000001,0.9976525821596244,Train error: 0.04625550660792954,Test error: 0.03539823008849563,0.01,poly,3,0.01
"SVC(C=0.01, gamma=0.1, kernel='poly', probability=True)",0.9734513274336283,1.0,0.9285714285714286,0.962962962962963,0.9517102615694165,Train error: 0.008810572687224627,Test error: 0.026548672566371723,0.01,poly,3,0.1
"SVC(C=0.01, gamma=1.0, kernel='poly', probability=True)",0.9292035398230089,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9289067739771966,Train error: 0.0,Test error: 0.07079646017699115,0.01,poly,3,1.0
"SVC(C=0.01, gamma=10.0, kernel='poly', probability=True)",0.9292035398230089,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9289067739771966,Train error: 0.0,Test error: 0.07079646017699115,0.01,poly,3,10.0
"SVC(C=0.01, gamma=100.0, kernel='poly', probability=True)",0.9380530973451328,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9285714285714286,Train error: 0.0,Test error: 0.06194690265486724,0.01,poly,3,100.0
"SVC(C=0.01, degree=4, gamma=0.001, kernel='poly', probability=True)",0.9380530973451328,0.9487179487179487,0.8809523809523809,0.9135802469135802,0.9634473507712943,Train error: 0.1145374449339207,Test error: 0.06194690265486724,0.01,poly,4,0.001
"SVC(C=0.01, degree=4, gamma=0.01, kernel='poly', probability=True)",0.9469026548672567,1.0,0.8571428571428571,0.923076923076923,0.9520456069751844,Train error: 0.026431718061673992,Test error: 0.053097345132743334,0.01,poly,4,0.01
"SVC(C=0.01, degree=4, gamma=0.1, kernel='poly', probability=True)",0.9380530973451328,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.9704896042924211,Train error: 0.0,Test error: 0.06194690265486724,0.01,poly,4,0.1
"SVC(C=0.01, degree=4, gamma=1.0, kernel='poly', probability=True)",0.9292035398230089,0.8695652173913043,0.9523809523809523,0.909090909090909,0.9698189134808852,Train error: 0.0022026431718061845,Test error: 0.07079646017699115,0.01,poly,4,1.0
"SVC(C=0.01, degree=4, gamma=10.0, kernel='poly', probability=True)",0.9292035398230089,0.8695652173913043,0.9523809523809523,0.909090909090909,0.9701542588866532,Train error: 0.0,Test error: 0.07079646017699115,0.01,poly,4,10.0
"SVC(C=0.01, degree=4, gamma=100.0, kernel='poly', probability=True)",0.9380530973451328,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.9704896042924211,Train error: 0.0,Test error: 0.06194690265486724,0.01,poly,4,100.0
"SVC(C=0.01, degree=5, gamma=0.001, kernel='poly', probability=True)",0.9646017699115044,0.975,0.9285714285714286,0.951219512195122,0.966130114017438,Train error: 0.09911894273127753,Test error: 0.03539823008849563,0.01,poly,5,0.001
"SVC(C=0.01, degree=5, gamma=0.01, kernel='poly', probability=True)",0.9380530973451328,0.9487179487179487,0.8809523809523809,0.9135802469135802,0.9279007377598927,Train error: 0.0066079295154185536,Test error: 0.06194690265486724,0.01,poly,5,0.01
"SVC(C=0.01, degree=5, gamma=0.1, kernel='poly', probability=True)",0.9380530973451328,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.9627766599597585,Train error: 0.0,Test error: 0.06194690265486724,0.01,poly,5,0.1
"SVC(C=0.01, degree=5, gamma=1.0, kernel='poly', probability=True)",0.9469026548672567,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.959758551307847,Train error: 0.0,Test error: 0.053097345132743334,0.01,poly,5,1.0
"SVC(C=0.01, degree=5, gamma=10.0, kernel='poly', probability=True)",0.9380530973451328,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.9678068410462776,Train error: 0.0,Test error: 0.06194690265486724,0.01,poly,5,10.0
"SVC(C=0.01, degree=5, gamma=100.0, kernel='poly', probability=True)",0.9469026548672567,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9721663313212607,Train error: 0.0,Test error: 0.053097345132743334,0.01,poly,5,100.0
"SVC(C=0.01, degree=1, gamma=0.001, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9832327297116028,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,1,0.001
"SVC(C=0.01, degree=1, gamma=0.01, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9845741113346747,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,1,0.01
"SVC(C=0.01, degree=1, gamma=0.1, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,1,0.1
"SVC(C=0.01, degree=1, gamma=1.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,1,1.0
"SVC(C=0.01, degree=1, gamma=10.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,1,10.0
"SVC(C=0.01, degree=1, gamma=100.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,1,100.0
"SVC(C=0.01, degree=2, gamma=0.001, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9832327297116028,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,2,0.001
"SVC(C=0.01, degree=2, gamma=0.01, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9845741113346747,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,2,0.01
"SVC(C=0.01, degree=2, gamma=0.1, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,2,0.1
"SVC(C=0.01, degree=2, gamma=1.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,2,1.0
"SVC(C=0.01, degree=2, gamma=10.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,2,10.0
"SVC(C=0.01, degree=2, gamma=100.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,2,100.0
"SVC(C=0.01, gamma=0.001, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9832327297116028,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,3,0.001
"SVC(C=0.01, gamma=0.01, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9845741113346747,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,3,0.01
"SVC(C=0.01, gamma=0.1, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,3,0.1
"SVC(C=0.01, gamma=1.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,3,1.0
"SVC(C=0.01, gamma=10.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,3,10.0
"SVC(C=0.01, gamma=100.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,3,100.0
"SVC(C=0.01, degree=4, gamma=0.001, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9832327297116028,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,4,0.001
"SVC(C=0.01, degree=4, gamma=0.01, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9845741113346747,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,4,0.01
"SVC(C=0.01, degree=4, gamma=0.1, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,4,0.1
"SVC(C=0.01, degree=4, gamma=1.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,4,1.0
"SVC(C=0.01, degree=4, gamma=10.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,4,10.0
"SVC(C=0.01, degree=4, gamma=100.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,4,100.0
"SVC(C=0.01, degree=5, gamma=0.001, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9832327297116028,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,5,0.001
"SVC(C=0.01, degree=5, gamma=0.01, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9845741113346747,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,5,0.01
"SVC(C=0.01, degree=5, gamma=0.1, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,5,0.1
"SVC(C=0.01, degree=5, gamma=1.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,5,1.0
"SVC(C=0.01, degree=5, gamma=10.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,5,10.0
"SVC(C=0.01, degree=5, gamma=100.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,sigmoid,5,100.0
"SVC(C=0.1, degree=1, gamma=0.001, probability=True)",0.9380530973451328,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9771965124077799,Train error: 0.1277533039647577,Test error: 0.06194690265486724,0.1,rbf,1,0.001
"SVC(C=0.1, degree=1, gamma=0.01, probability=True)",0.9557522123893806,0.9302325581395349,0.9523809523809523,0.9411764705882352,0.9782025486250838,Train error: 0.12114537444933926,Test error: 0.04424778761061943,0.1,rbf,1,0.01
"SVC(C=0.1, degree=1, gamma=0.1, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9728370221327967,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,1,0.1
"SVC(C=0.1, degree=1, gamma=1.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9069416498993963,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,1,1.0
"SVC(C=0.1, degree=1, gamma=10.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.26425217974513754,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,1,10.0
"SVC(C=0.1, degree=1, gamma=100.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,1,100.0
"SVC(C=0.1, degree=2, gamma=0.001, probability=True)",0.9380530973451328,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9771965124077799,Train error: 0.1277533039647577,Test error: 0.06194690265486724,0.1,rbf,2,0.001
"SVC(C=0.1, degree=2, gamma=0.01, probability=True)",0.9557522123893806,0.9302325581395349,0.9523809523809523,0.9411764705882352,0.9782025486250838,Train error: 0.12114537444933926,Test error: 0.04424778761061943,0.1,rbf,2,0.01
