Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,max_depth,min_samples_split,min_samples_leaf
"DecisionTreeClassifier(max_depth=3, min_samples_leaf=3, min_samples_split=3)",0.9469026548672567,0.9736842105263158,0.8809523809523809,0.925,0.9250503018108651,0.033039647577092546,0.053097345132743334,3,3,3
"DecisionTreeClassifier(max_depth=3, min_samples_leaf=4, min_samples_split=3)",0.9469026548672567,0.9736842105263158,0.8809523809523809,0.925,0.9250503018108651,0.033039647577092546,0.053097345132743334,3,3,4
"DecisionTreeClassifier(max_depth=3, min_samples_split=4)",0.9380530973451328,0.9487179487179487,0.8809523809523809,0.9135802469135802,0.9138162307176392,0.03083700440528636,0.06194690265486724,3,4,1
"DecisionTreeClassifier(max_depth=3, min_samples_leaf=2, min_samples_split=4)",0.9469026548672567,0.9736842105263158,0.8809523809523809,0.925,0.9250503018108651,0.033039647577092546,0.053097345132743334,3,4,2
"DecisionTreeClassifier(max_depth=3, min_samples_leaf=3, min_samples_split=4)",0.9469026548672567,0.9736842105263158,0.8809523809523809,0.925,0.9250503018108651,0.033039647577092546,0.053097345132743334,3,4,3
"DecisionTreeClassifier(max_depth=3, min_samples_leaf=4, min_samples_split=4)",0.9292035398230089,0.9722222222222222,0.8333333333333334,0.8974358974358975,0.8791079812206573,0.033039647577092546,0.07079646017699115,3,4,4
DecisionTreeClassifier(max_depth=4),0.9292035398230089,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8998993963782695,0.01541850220264318,0.07079646017699115,4,2,1
"DecisionTreeClassifier(max_depth=4, min_samples_leaf=2)",0.9380530973451328,0.9487179487179487,0.8809523809523809,0.9135802469135802,0.9227028839704896,0.01541850220264318,0.06194690265486724,4,2,2
"DecisionTreeClassifier(max_depth=4, min_samples_leaf=3)",0.9203539823008849,0.9459459459459459,0.8333333333333334,0.8860759493670887,0.8905097250167673,0.026431718061673992,0.07964601769911506,4,2,3
"DecisionTreeClassifier(max_depth=4, min_samples_leaf=4)",0.9203539823008849,0.9459459459459459,0.8333333333333334,0.8860759493670887,0.8905097250167673,0.03083700440528636,0.07964601769911506,4,2,4
"DecisionTreeClassifier(max_depth=4, min_samples_split=3)",0.9292035398230089,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8998993963782695,0.01541850220264318,0.07079646017699115,4,3,1
"DecisionTreeClassifier(max_depth=4, min_samples_leaf=2, min_samples_split=3)",0.9469026548672567,0.9736842105263158,0.8809523809523809,0.925,0.9356136820925554,0.01541850220264318,0.053097345132743334,4,3,2
"DecisionTreeClassifier(max_depth=4, min_samples_leaf=3, min_samples_split=3)",0.9203539823008849,0.9459459459459459,0.8333333333333334,0.8860759493670887,0.8905097250167673,0.026431718061673992,0.07964601769911506,4,3,3
"DecisionTreeClassifier(max_depth=4, min_samples_leaf=4, min_samples_split=3)",0.9380530973451328,0.9487179487179487,0.8809523809523809,0.9135802469135802,0.9565727699530515,0.03083700440528636,0.06194690265486724,4,3,4
"DecisionTreeClassifier(max_depth=4, min_samples_split=4)",0.911504424778761,0.9,0.8571428571428571,0.8780487804878048,0.8549631120053655,0.01541850220264318,0.08849557522123896,4,4,1
"DecisionTreeClassifier(max_depth=4, min_samples_leaf=2, min_samples_split=4)",0.9292035398230089,0.9722222222222222,0.8333333333333334,0.8974358974358975,0.8896713615023474,0.01541850220264318,0.07079646017699115,4,4,2
"DecisionTreeClassifier(max_depth=4, min_samples_leaf=3, min_samples_split=4)",0.9203539823008849,0.9459459459459459,0.8333333333333334,0.8860759493670887,0.9109657947686117,0.026431718061673992,0.07964601769911506,4,4,3
"DecisionTreeClassifier(max_depth=4, min_samples_leaf=4, min_samples_split=4)",0.9203539823008849,0.9459459459459459,0.8333333333333334,0.8860759493670887,0.8905097250167673,0.03083700440528636,0.07964601769911506,4,4,4
DecisionTreeClassifier(max_depth=5),0.911504424778761,0.9,0.8571428571428571,0.8780487804878048,0.8549631120053655,0.013215859030836996,0.08849557522123896,5,2,1
"DecisionTreeClassifier(max_depth=5, min_samples_leaf=2)",0.9469026548672567,0.9736842105263158,0.8809523809523809,0.925,0.9342723004694835,0.01541850220264318,0.053097345132743334,5,2,2
"DecisionTreeClassifier(max_depth=5, min_samples_leaf=3)",0.911504424778761,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.8670355466130114,0.017621145374449365,0.08849557522123896,5,2,3
"DecisionTreeClassifier(max_depth=5, min_samples_leaf=4)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.9113011401743796,0.022026431718061623,0.07079646017699115,5,2,4
"DecisionTreeClassifier(max_depth=5, min_samples_split=3)",0.9292035398230089,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8998993963782695,0.013215859030836996,0.07079646017699115,5,3,1
"DecisionTreeClassifier(max_depth=5, min_samples_leaf=2, min_samples_split=3)",0.9292035398230089,0.925,0.8809523809523809,0.9024390243902439,0.9091213950368879,0.01541850220264318,0.07079646017699115,5,3,2
"DecisionTreeClassifier(max_depth=5, min_samples_leaf=3, min_samples_split=3)",0.911504424778761,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.8660295103957076,0.017621145374449365,0.08849557522123896,5,3,3
"DecisionTreeClassifier(max_depth=5, min_samples_leaf=4, min_samples_split=3)",0.911504424778761,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.8878269617706237,0.022026431718061623,0.08849557522123896,5,3,4
"DecisionTreeClassifier(max_depth=5, min_samples_split=4)",0.911504424778761,0.9,0.8571428571428571,0.8780487804878048,0.8549631120053655,0.013215859030836996,0.08849557522123896,5,4,1
"DecisionTreeClassifier(max_depth=5, min_samples_leaf=2, min_samples_split=4)",0.9292035398230089,0.9722222222222222,0.8333333333333334,0.8974358974358975,0.8893360160965794,0.01541850220264318,0.07079646017699115,5,4,2
"DecisionTreeClassifier(max_depth=5, min_samples_leaf=3, min_samples_split=4)",0.911504424778761,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.8660295103957076,0.017621145374449365,0.08849557522123896,5,4,3
"DecisionTreeClassifier(max_depth=5, min_samples_leaf=4, min_samples_split=4)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.9111334674714957,0.022026431718061623,0.07079646017699115,5,4,4
DecisionTreeClassifier(max_depth=6),0.9292035398230089,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9114688128772637,0.011013215859030812,0.07079646017699115,6,2,1
"DecisionTreeClassifier(max_depth=6, min_samples_leaf=2)",0.9380530973451328,0.9487179487179487,0.8809523809523809,0.9135802469135802,0.9451710261569417,0.01541850220264318,0.06194690265486724,6,2,2
"DecisionTreeClassifier(max_depth=6, min_samples_leaf=3)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.9379610999329309,0.017621145374449365,0.07079646017699115,6,2,3
"DecisionTreeClassifier(max_depth=6, min_samples_leaf=4)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.9351106639839033,0.022026431718061623,0.07079646017699115,6,2,4
