Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,n_neighbors
KNeighborsClassifier(n_neighbors=1),0.911504424778761,0.8478260869565217,0.9285714285714286,0.8863636363636365,0.914989939637827,0.0,0.08849557522123896,1
KNeighborsClassifier(n_neighbors=2),0.9292035398230089,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9419852448021462,0.06828193832599116,0.07079646017699115,2
KNeighborsClassifier(n_neighbors=3),0.9203539823008849,0.851063829787234,0.9523809523809523,0.898876404494382,0.9528839704896043,0.052863436123347984,0.07964601769911506,3
KNeighborsClassifier(n_neighbors=4),0.9380530973451328,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9590878604963112,0.07929515418502198,0.06194690265486724,4
KNeighborsClassifier(),0.9469026548672567,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9689805499664654,0.07048458149779735,0.053097345132743334,5
KNeighborsClassifier(n_neighbors=6),0.9469026548672567,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9735077129443326,0.08810572687224671,0.053097345132743334,6
KNeighborsClassifier(n_neighbors=7),0.9469026548672567,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9731723675385646,0.08149779735682816,0.053097345132743334,7
KNeighborsClassifier(n_neighbors=8),0.9557522123893806,0.9512195121951219,0.9285714285714286,0.9397590361445782,0.9730046948356808,0.0903083700440529,0.04424778761061943,8
KNeighborsClassifier(n_neighbors=9),0.9557522123893806,0.9302325581395349,0.9523809523809523,0.9411764705882352,0.9726693494299129,0.09691629955947134,0.04424778761061943,9
