Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,C,kernel,gamma
"SVC(C=0.01, gamma=1.0, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,0.01,sigmoid,1.0
"SVC(C=0.01, gamma=10.0, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,0.01,sigmoid,10.0
"SVC(C=0.01, gamma=100.0, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,0.01,sigmoid,100.0
"SVC(C=0.1, gamma=0.001, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.689247311827957,0.34688346883468835,0.34065934065934067,0.1,rbf,0.001
"SVC(C=0.1, gamma=0.01, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5865591397849462,0.34688346883468835,0.34065934065934067,0.1,rbf,0.01
"SVC(C=0.1, gamma=0.1, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.43548387096774194,0.34688346883468835,0.34065934065934067,0.1,rbf,0.1
"SVC(C=0.1, gamma=1.0, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.45,0.34688346883468835,0.34065934065934067,0.1,rbf,1.0
"SVC(C=0.1, gamma=10.0, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,0.1,rbf,10.0
"SVC(C=0.1, gamma=100.0, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,0.1,rbf,100.0
"SVC(C=0.1, gamma=0.001, kernel='linear', probability=True)",0.7142857142857143,0.5862068965517241,0.5483870967741935,0.5666666666666665,0.7397849462365591,0.24932249322493227,0.2857142857142857,0.1,linear,0.001
"SVC(C=0.1, gamma=0.01, kernel='linear', probability=True)",0.7142857142857143,0.5862068965517241,0.5483870967741935,0.5666666666666665,0.7397849462365591,0.24932249322493227,0.2857142857142857,0.1,linear,0.01
"SVC(C=0.1, gamma=0.1, kernel='linear', probability=True)",0.7142857142857143,0.5862068965517241,0.5483870967741935,0.5666666666666665,0.7397849462365591,0.24932249322493227,0.2857142857142857,0.1,linear,0.1
"SVC(C=0.1, gamma=1.0, kernel='linear', probability=True)",0.7142857142857143,0.5862068965517241,0.5483870967741935,0.5666666666666665,0.7400537634408602,0.24932249322493227,0.2857142857142857,0.1,linear,1.0
"SVC(C=0.1, gamma=10.0, kernel='linear', probability=True)",0.7142857142857143,0.5862068965517241,0.5483870967741935,0.5666666666666665,0.7397849462365591,0.24932249322493227,0.2857142857142857,0.1,linear,10.0
"SVC(C=0.1, gamma=100.0, kernel='linear', probability=True)",0.7142857142857143,0.5862068965517241,0.5483870967741935,0.5666666666666665,0.7397849462365591,0.24932249322493227,0.2857142857142857,0.1,linear,100.0
"SVC(C=0.1, gamma=0.001, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5411290322580646,0.34688346883468835,0.34065934065934067,0.1,sigmoid,0.001
"SVC(C=0.1, gamma=0.01, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,0.1,sigmoid,0.01
"SVC(C=0.1, gamma=0.1, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,0.1,sigmoid,0.1
"SVC(C=0.1, gamma=1.0, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,0.1,sigmoid,1.0
"SVC(C=0.1, gamma=10.0, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,0.1,sigmoid,10.0
